1896	12
1900	11
1904	11
1906	11.2000000000000
1908	10.8000000000000
1912	10.8000000000000
1920	10.8000000000000
1924	10.6000000000000
1928	10.8000000000000
1932	10.3000000000000
1936	10.3000000000000
1948	10.3000000000000
1952	10.4000000000000
1956	10.5000000000000
1960	10.2000000000000
1964	10
1968	9.95000000000000
1972	10.1400000000000
1976	10.0600000000000
1980	10.2500000000000
1984	9.99000000000000
1988	9.92000000000000
1992	9.96000000000000
1996	9.84000000000000
2000	9.87000000000000
2004	9.85000000000000
2008	9.69000000000000
